,Security,SEC Filings,GICS Sector,GICS Sub Industry,Location,Date Added,CIK,Founded,const,Index,Oil,Gold,NaturalGas,Group
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,20286,1950,-0.2729314634933363,-0.1443564850591752,-0.4192469137669067,-0.8472432266933456,0.03125780835837168,1
CTAS,Cintas,reports,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254,1929,2.1241505871783493,-0.19230357538821508,-0.34326769838461213,0.009106093231682539,0.03125780835837168,2
CSCO,Cisco,reports,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877,1984,-0.2729314634933363,-0.07937521548347345,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
C,Citigroup,reports,Financials,Diversified Banks,"New York City, New York",1988-05-31,831001,1998,-0.2729314634933363,2.1395456961679358,0.007756672699786574,-3.246791784361258,0.03125780835837168,7
CLX,Clorox,reports,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076,1913,-0.2729314634933363,-1.8493925362447965,-0.6136313315250932,0.009106093231682539,0.03125780835837168,1
CME,CME Group,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1156375,1848,-0.2729314634933363,-0.0048632180683016455,-0.8459586827172818,0.009106093231682539,0.03125780835837168,1
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",1999-05-03,811156,1886,-0.2729314634933363,-1.451130823358906,-0.4522538104965576,0.009106093231682539,0.03125780835837168,1
KO,The Coca-Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957-03-04,21344,1886,-0.2729314634933363,-1.5508252210206184,-0.2150394303697213,0.009106093231682539,0.03125780835837168,1
CTSH,Cognizant,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290,1994,-0.2729314634933363,0.6972013117847105,0.007756672699786574,0.009106093231682539,-2.9159657488448834,6
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York City, New York",1957-03-04,21665,1806,-0.2729314634933363,-1.542501397865286,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
CMCSA,Comcast,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691,1963,-0.2729314634933363,-0.20123934272683205,-0.33644578190160485,0.009106093231682539,0.03125780835837168,1
